"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.126722015E2,2.651603699E1,-4.075061417E1,1.032427979E1
1.126821375E2,2.684346008E1,-4.045074081E1,1.066363525E1
1.126920745E2,2.684346008E1,-4.045074081E1,1.066363525E1
1.127020115E2,2.697575378E1,-4.018670273E1,1.164318848E1
1.127119475E2,2.697575378E1,-4.018670273E1,1.164318848E1
1.127218845E2,2.727348328E1,-4.021496964E1,1.200317383E1
1.127318215E2,2.727348328E1,-4.021496964E1,1.200317383E1
1.127417575E2,2.716761780E1,-3.965643692E1,1.249798584E1
1.127516945E2,2.716761780E1,-3.965643692E1,1.249798584E1
1.127616315E2,2.719880676E1,-3.958557892E1,1.297155762E1
1.127715675E2,2.719880676E1,-3.958557892E1,1.297155762E1
1.127815045E2,2.698591614E1,-3.928133392E1,1.404089355E1
1.127914415E2,2.698591614E1,-3.928133392E1,1.404089355E1
1.128013775E2,2.691065979E1,-3.898247528E1,1.498394775E1
1.128113145E2,2.691065979E1,-3.898247528E1,1.498394775E1
1.128212515E2,2.660130310E1,-3.852236938E1,1.565783691E1
1.128311885E2,2.660130310E1,-3.852236938E1,1.565783691E1
1.128411245E2,2.674577332E1,-3.854383087E1,1.616375732E1
1.128510615E2,2.674577332E1,-3.854383087E1,1.616375732E1
1.128609985E2,2.651255798E1,-3.874664307E1,1.648071289E1
1.128709345E2,2.651255798E1,-3.874664307E1,1.648071289E1
1.128808715E2,2.676341248E1,-3.847870636E1,1.645062256E1
1.128908085E2,2.676341248E1,-3.847870636E1,1.645062256E1
1.129007445E2,2.654862976E1,-3.844879532E1,1.658300781E1
1.129106815E2,2.654862976E1,-3.844879532E1,1.658300781E1
1.129206185E2,2.637754822E1,-3.845517731E1,1.679412842E1
1.129305545E2,2.637754822E1,-3.845517731E1,1.679412842E1
1.129404915E2,2.608000183E1,-3.890298462E1,1.664721680E1
1.129504285E2,2.608000183E1,-3.890298462E1,1.664721680E1
1.129603645E2,2.584379578E1,-3.931554413E1,1.593554688E1
1.129703014E2,2.584379578E1,-3.931554413E1,1.593554688E1
1.129802384E2,2.584379578E1,-3.931554413E1,1.593554688E1
1.129901744E2,2.538728333E1,-3.990625000E1,1.539855957E1
1.130001114E2,2.538728333E1,-3.990625000E1,1.539855957E1
1.130100484E2,2.504423523E1,-4.030291367E1,1.449298096E1
1.130199844E2,2.504423523E1,-4.030291367E1,1.449298096E1
1.130299214E2,2.484370422E1,-4.080192184E1,1.278698730E1
1.130398584E2,2.484370422E1,-4.080192184E1,1.278698730E1
1.130497944E2,2.497087097E1,-4.148209000E1,1.053869629E1
1.130597314E2,2.497087097E1,-4.148209000E1,1.053869629E1
1.130696684E2,2.538032532E1,-4.184573746E1,8.240478516E0
1.130796044E2,2.538032532E1,-4.184573746E1,8.240478516E0
1.130895414E2,2.544398499E1,-4.205423355E1,6.234130859E0
1.130994784E2,2.544398499E1,-4.205423355E1,6.234130859E0
1.131094144E2,2.560328674E1,-4.200827026E1,5.658630371E0
1.131193514E2,2.560328674E1,-4.200827026E1,5.658630371E0
1.131292884E2,2.582322693E1,-4.194882584E1,5.876525879E0
1.131392254E2,2.582322693E1,-4.194882584E1,5.876525879E0
1.131491614E2,2.609611511E1,-4.179312515E1,5.947509766E0
1.131590984E2,2.609611511E1,-4.179312515E1,5.947509766E0
1.131690354E2,2.649305725E1,-4.139788055E1,6.604553223E0
1.131789714E2,2.649305725E1,-4.139788055E1,6.604553223E0
1.131889084E2,2.671195984E1,-4.125015259E1,6.775085449E0
1.131988454E2,2.671195984E1,-4.125015259E1,6.775085449E0
1.132087814E2,2.685676575E1,-4.119454575E1,6.972473145E0
1.132187184E2,2.685676575E1,-4.119454575E1,6.972473145E0
1.132286554E2,2.705473328E1,-4.113759613E1,6.073913574E0
1.132385914E2,2.705473328E1,-4.113759613E1,6.073913574E0
1.132485284E2,2.719618225E1,-4.117630005E1,4.304870605E0
1.132584654E2,2.719618225E1,-4.117630005E1,4.304870605E0
1.132684014E2,2.728721619E1,-4.149074554E1,3.045776367E0
1.132783384E2,2.728721619E1,-4.149074554E1,3.045776367E0
1.132882754E2,2.772828674E1,-4.128777695E1,2.601928711E0
1.132982114E2,2.772828674E1,-4.128777695E1,2.601928711E0
1.133081484E2,2.781263733E1,-4.129357147E1,2.340393066E0
1.133180854E2,2.781263733E1,-4.129357147E1,2.340393066E0
1.133280214E2,2.820979309E1,-4.114166260E1,2.793273926E0
1.133379584E2,2.820979309E1,-4.114166260E1,2.793273926E0
1.133478954E2,2.836921692E1,-4.095558929E1,2.961608887E0
1.133578314E2,2.836921692E1,-4.095558929E1,2.961608887E0
1.133677684E2,2.819190979E1,-4.077967453E1,3.516662598E0
1.133777054E2,2.819190979E1,-4.077967453E1,3.516662598E0
1.133876414E2,2.799461365E1,-4.114235306E1,3.120727539E0
1.133975784E2,2.799461365E1,-4.114235306E1,3.120727539E0
1.134075154E2,2.784382629E1,-4.123074341E1,2.528137207E0
1.134174514E2,2.784382629E1,-4.123074341E1,2.528137207E0
1.134273884E2,2.744111633E1,-4.141285324E1,2.086059570E0
1.134373254E2,2.744111633E1,-4.141285324E1,2.086059570E0
1.134472624E2,2.714900208E1,-4.159998322E1,1.758483887E0
1.134571984E2,2.714900208E1,-4.159998322E1,1.758483887E0
1.134671354E2,2.667478943E1,-4.195654678E1,1.948730469E0
1.134770724E2,2.667478943E1,-4.195654678E1,1.948730469E0
1.134870084E2,2.653623962E1,-4.206855392E1,2.066284180E0
1.134969454E2,2.653623962E1,-4.206855392E1,2.066284180E0
1.135068824E2,2.668617249E1,-4.222190857E1,1.918640137E0
1.135168184E2,2.668617249E1,-4.222190857E1,1.918640137E0
1.135267554E2,2.695820618E1,-4.164214325E1,2.128906250E0
1.135366924E2,2.695820618E1,-4.164214325E1,2.128906250E0
1.135466284E2,2.722209167E1,-4.176284790E1,1.814453125E0
1.135565654E2,2.722209167E1,-4.176284790E1,1.814453125E0
1.135665024E2,2.735545349E1,-4.146162415E1,1.811279297E0
1.135764384E2,2.735545349E1,-4.146162415E1,1.811279297E0
