"Time (s)","X (hPa)"
3.447606588E2,9.530099487E2
3.456898908E2,9.530099487E2
3.466189938E2,9.530097961E2
3.475481518E2,9.530075073E2
3.484774038E2,9.529976654E2
3.494068308E2,9.529864502E2
3.503361138E2,9.529772186E2
3.512653128E2,9.529552460E2
3.521946398E2,9.529244995E2
3.531238798E2,9.529003906E2
3.540530968E2,9.528853607E2
3.549821398E2,9.528622437E2
3.559112418E2,9.528622437E2
3.568404428E2,9.528651428E2
3.577696128E2,9.528771210E2
3.586988568E2,9.528850555E2
3.596279438E2,9.528964996E2
3.605570488E2,9.529096222E2
3.614862568E2,9.529286194E2
3.624152758E2,9.529462433E2
3.633444028E2,9.529659271E2
3.642735268E2,9.529775238E2
3.652025838E2,9.529775238E2
3.661315138E2,9.529691315E2
3.670604328E2,9.529540253E2
3.679895328E2,9.529289246E2
3.689185058E2,9.529003143E2
3.698475808E2,9.528755951E2
3.707768308E2,9.528541565E2
3.717061518E2,9.528343201E2
3.726353078E2,9.528290558E2
3.735645028E2,9.528175354E2
3.744937598E2,9.528092957E2
3.754229278E2,9.527999115E2
3.763519918E2,9.527907562E2
3.772811878E2,9.527766418E2
3.782104178E2,9.527667999E2
3.791398628E2,9.527516174E2
3.800694838E2,9.527301025E2
3.809990038E2,9.527072906E2
3.819284538E2,9.526819611E2
3.828578118E2,9.526538849E2
3.837873868E2,9.526240540E2
3.847167448E2,9.526015472E2
3.856462118E2,9.525753784E2
3.865755898E2,9.525522614E2
3.875048738E2,9.525273895E2
3.884342248E2,9.525102997E2
3.893636508E2,9.524858856E2
3.902928158E2,9.524633026E2
3.912220668E2,9.524382782E2
3.921515528E2,9.524219513E2
3.930809838E2,9.523868561E2
3.940102368E2,9.523497772E2
3.949394418E2,9.523163605E2
3.958689558E2,9.522887421E2
3.967984668E2,9.522468567E2
3.977278858E2,9.522209167E2
3.986571608E2,9.521931458E2
3.995866148E2,9.521556854E2
4.005159768E2,9.521149445E2
4.014452968E2,9.520841980E2
4.023744348E2,9.520437622E2
4.033036878E2,9.520080566E2
4.042329188E2,9.519822693E2
4.051623938E2,9.519503784E2
4.060918918E2,9.519100189E2
4.070213658E2,9.518816376E2
4.079507898E2,9.518492126E2
4.088800108E2,9.518154907E2
4.098092208E2,9.517860413E2
4.107387568E2,9.517598724E2
4.116682098E2,9.517319489E2
4.125976108E2,9.517012024E2
4.135270068E2,9.516722107E2
4.144563598E2,9.516466522E2
4.153857548E2,9.516236115E2
4.163149758E2,9.515926361E2
4.172443698E2,9.515494537E2
4.181736328E2,9.515194702E2
4.191029808E2,9.514843750E2
4.200322748E2,9.514479065E2
4.209615038E2,9.514172363E2
4.218907188E2,9.514023590E2
4.228200218E2,9.513711548E2
4.237493258E2,9.513446045E2
4.246784998E2,9.513122559E2
4.256076038E2,9.512763214E2
4.265368558E2,9.512448120E2
4.274660948E2,9.512213898E2
4.283953728E2,9.512018585E2
4.293246308E2,9.511882019E2
4.302538808E2,9.511814880E2
4.311829778E2,9.511715698E2
4.321122118E2,9.511695862E2
4.330415008E2,9.511583710E2
4.339706628E2,9.511528778E2
4.349000098E2,9.511508179E2
4.358292428E2,9.511495209E2
4.367584108E2,9.511495209E2
4.376875328E2,9.511495209E2
4.386167188E2,9.511506653E2
4.395459448E2,9.511506653E2
4.404752878E2,9.511428833E2
4.414045678E2,9.511407471E2
4.423338668E2,9.511401367E2
4.432631298E2,9.511390686E2
4.441925548E2,9.511390686E2
4.451218668E2,9.511400604E2
4.460509788E2,9.511400604E2
4.469802018E2,9.511412811E2
4.479094718E2,9.511419678E2
4.488387898E2,9.511475372E2
4.497680378E2,9.511524963E2
4.506974208E2,9.511573029E2
4.516266868E2,9.511622620E2
4.525559778E2,9.511622620E2
4.534852498E2,9.511611938E2
4.544145528E2,9.511588287E2
4.553436488E2,9.511588287E2
4.562727938E2,9.511595917E2
4.572019558E2,9.511705780E2
4.581311838E2,9.511739349E2
4.590602778E2,9.512000275E2
4.599890458E2,9.512293243E2
4.609178878E2,9.512413788E2
4.618465638E2,9.512673187E2
4.627752718E2,9.512673187E2
4.637039888E2,9.512659454E2
4.646324718E2,9.512609863E2
4.655609938E2,9.512609863E2
4.664895528E2,9.512335968E2
4.674180158E2,9.512335968E2
4.683465328E2,9.512385559E2
4.692748258E2,9.512385559E2
4.702030838E2,9.512362671E2
4.711314538E2,9.512362671E2
4.720598438E2,9.512268066E2
4.729880448E2,9.512098694E2
4.739160788E2,9.511817169E2
4.748441868E2,9.511536407E2
4.757725028E2,9.511482239E2
4.767007168E2,9.511341858E2
4.776288488E2,9.511341858E2
4.785568428E2,9.511402893E2
4.794848518E2,9.511622620E2
4.804129978E2,9.511622620E2
4.813409188E2,9.511604309E2
