"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.427190112E1,2.787083435E1,-3.896475983E1,-6.774902344E-2
5.428183712E1,2.787083435E1,-3.896475983E1,-6.774902344E-2
5.429177312E1,2.783723450E1,-3.914106750E1,-5.572509766E-1
5.430170812E1,2.783723450E1,-3.914106750E1,-5.572509766E-1
5.431164413E1,2.768577576E1,-3.913807678E1,-8.757324219E-1
5.432157913E1,2.768577576E1,-3.913807678E1,-8.757324219E-1
5.433151571E1,2.765791321E1,-3.920251083E1,-1.198364258E0
5.434145071E1,2.765791321E1,-3.920251083E1,-1.198364258E0
5.435138671E1,2.733375549E1,-3.934754944E1,-7.579956055E-1
5.436132271E1,2.733375549E1,-3.934754944E1,-7.579956055E-1
5.437125771E1,2.734764099E1,-3.917386627E1,-1.604614258E-1
5.438119371E1,2.734764099E1,-3.917386627E1,-1.604614258E-1
5.439112871E1,2.742219543E1,-3.921082687E1,4.825439453E-1
5.440106471E1,2.742219543E1,-3.921082687E1,4.825439453E-1
5.441099971E1,2.750389099E1,-3.918946838E1,2.756347656E-1
5.442093571E1,2.750389099E1,-3.918946838E1,2.756347656E-1
5.443087171E1,2.745094299E1,-3.923780823E1,1.098632812E-1
5.444080671E1,2.745094299E1,-3.923780823E1,1.098632812E-1
5.445074271E1,2.724421692E1,-3.941814041E1,5.900268555E-1
5.446067771E1,2.724421692E1,-3.941814041E1,5.900268555E-1
5.447061371E1,2.700737000E1,-3.955268097E1,7.302856445E-1
5.448054871E1,2.700737000E1,-3.955268097E1,7.302856445E-1
5.449048471E1,2.706575012E1,-3.951443481E1,9.168701172E-1
5.450042071E1,2.706575012E1,-3.951443481E1,9.168701172E-1
5.451035571E1,2.689982605E1,-3.967983246E1,1.420471191E0
5.452029171E1,2.689982605E1,-3.967983246E1,1.420471191E0
5.453022671E1,2.696641541E1,-3.950361252E1,1.032958984E0
5.454016271E1,2.696641541E1,-3.950361252E1,1.032958984E0
5.455009771E1,2.730812073E1,-3.925057220E1,-9.399414062E-3
5.456003371E1,2.730812073E1,-3.925057220E1,-9.399414062E-3
5.456996971E1,2.774464417E1,-3.907749176E1,-1.144592285E0
5.457990471E1,2.774464417E1,-3.907749176E1,-1.144592285E0
5.458984071E1,2.774464417E1,-3.907749176E1,-1.144592285E0
5.459977571E1,2.805989075E1,-3.875191498E1,-2.396911621E0
5.460971171E1,2.805989075E1,-3.875191498E1,-2.396911621E0
5.461964671E1,2.794358826E1,-3.878660965E1,-2.998413086E0
5.462958271E1,2.794358826E1,-3.878660965E1,-2.998413086E0
5.463951871E1,2.792085266E1,-3.873370743E1,-3.721008301E0
5.464945371E1,2.792085266E1,-3.873370743E1,-3.721008301E0
5.465938971E1,2.788783264E1,-3.888606644E1,-4.115600586E0
5.466932471E1,2.788783264E1,-3.888606644E1,-4.115600586E0
5.467926071E1,2.775151062E1,-3.896511078E1,-4.224853516E0
5.468919571E1,2.775151062E1,-3.896511078E1,-4.224853516E0
5.469913171E1,2.738786316E1,-3.921976089E1,-4.111206055E0
5.470906771E1,2.738786316E1,-3.921976089E1,-4.111206055E0
5.471900271E1,2.712580872E1,-3.929078293E1,-4.185913086E0
5.472893871E1,2.712580872E1,-3.929078293E1,-4.185913086E0
5.473887371E1,2.695021057E1,-3.935493469E1,-4.032348633E0
5.474880971E1,2.695021057E1,-3.935493469E1,-4.032348633E0
5.475874471E1,2.689588928E1,-3.958332825E1,-3.682922363E0
5.476868071E1,2.689588928E1,-3.958332825E1,-3.682922363E0
5.477861571E1,2.688316345E1,-3.961983109E1,-2.809265137E0
5.478855171E1,2.688316345E1,-3.961983109E1,-2.809265137E0
5.479848771E1,2.660881042E1,-3.959722900E1,-1.794738770E0
5.480842271E1,2.660881042E1,-3.959722900E1,-1.794738770E0
5.481835871E1,2.654786682E1,-3.986235809E1,-5.711669922E-1
5.482829371E1,2.654786682E1,-3.986235809E1,-5.711669922E-1
5.483822971E1,2.634535217E1,-3.990400696E1,5.349731445E-1
5.484816471E1,2.634535217E1,-3.990400696E1,5.349731445E-1
5.485810071E1,2.579115295E1,-4.040629578E1,1.886779785E0
5.486803671E1,2.579115295E1,-4.040629578E1,1.886779785E0
5.487797171E1,2.484538269E1,-4.094553757E1,3.469482422E0
5.488790771E1,2.484538269E1,-4.094553757E1,3.469482422E0
5.489784271E1,2.400410461E1,-4.121057892E1,4.916259766E0
5.490777871E1,2.400410461E1,-4.121057892E1,4.916259766E0
5.491771371E1,2.288627625E1,-4.160427475E1,6.350708008E0
5.492764971E1,2.288627625E1,-4.160427475E1,6.350708008E0
5.493758571E1,2.203385925E1,-4.196897507E1,7.397216797E0
5.494752071E1,2.203385925E1,-4.196897507E1,7.397216797E0
5.495745671E1,2.145002747E1,-4.198468399E1,7.690490723E0
5.496739171E1,2.145002747E1,-4.198468399E1,7.690490723E0
5.497732771E1,2.169328308E1,-4.212471771E1,7.732482910E0
5.498726271E1,2.169328308E1,-4.212471771E1,7.732482910E0
5.499719871E1,2.229426575E1,-4.167819595E1,7.151367188E0
5.500713471E1,2.229426575E1,-4.167819595E1,7.151367188E0
5.501706971E1,2.292912292E1,-4.140386581E1,7.114807129E0
5.502700571E1,2.292912292E1,-4.140386581E1,7.114807129E0
5.503694071E1,2.325941467E1,-4.118912506E1,7.183227539E0
5.504687671E1,2.325941467E1,-4.118912506E1,7.183227539E0
5.505681171E1,2.300465393E1,-4.140403366E1,7.015319824E0
5.506674771E1,2.300465393E1,-4.140403366E1,7.015319824E0
5.507668371E1,2.300584412E1,-4.153904343E1,6.634399414E0
5.508661871E1,2.300584412E1,-4.153904343E1,6.634399414E0
5.509655471E1,2.319108582E1,-4.146977997E1,6.613220215E0
5.510648971E1,2.319108582E1,-4.146977997E1,6.613220215E0
5.511642571E1,2.313993835E1,-4.153052139E1,6.910461426E0
5.512636071E1,2.313993835E1,-4.153052139E1,6.910461426E0
5.513629671E1,2.288902283E1,-4.137759399E1,7.314697266E0
5.514623271E1,2.288902283E1,-4.137759399E1,7.314697266E0
5.515616771E1,2.297828674E1,-4.137348175E1,7.844543457E0
5.516610371E1,2.297828674E1,-4.137348175E1,7.844543457E0
5.517603871E1,2.304963684E1,-4.107131195E1,8.454956055E0
5.518597471E1,2.304963684E1,-4.107131195E1,8.454956055E0
5.519590971E1,2.327449036E1,-4.091362000E1,8.892333984E0
5.520584571E1,2.327449036E1,-4.091362000E1,8.892333984E0
5.521578171E1,2.359617615E1,-4.051821136E1,9.136047363E0
5.522571671E1,2.359617615E1,-4.051821136E1,9.136047363E0
5.523565271E1,2.374562073E1,-4.037366104E1,1.019403076E1
5.524558771E1,2.374562073E1,-4.037366104E1,1.019403076E1
5.525552371E1,2.368513489E1,-4.028170776E1,1.064697266E1
5.526545871E1,2.368513489E1,-4.028170776E1,1.064697266E1
5.527539471E1,2.350297546E1,-3.998979187E1,1.089459229E1
5.528532971E1,2.350297546E1,-3.998979187E1,1.089459229E1
5.529526571E1,2.344737244E1,-4.023779678E1,1.082348633E1
5.530520171E1,2.344737244E1,-4.023779678E1,1.082348633E1
5.531513671E1,2.343211365E1,-4.031719589E1,1.073632812E1
5.532507271E1,2.343211365E1,-4.031719589E1,1.073632812E1
5.533500762E1,2.332859802E1,-4.049822998E1,1.060028076E1
5.534494363E1,2.332859802E1,-4.049822998E1,1.060028076E1
5.535487863E1,2.345451355E1,-4.065008545E1,1.030023193E1
5.536481463E1,2.345451355E1,-4.065008545E1,1.030023193E1
5.537475062E1,2.331230164E1,-4.064323807E1,9.722778320E0
5.538468562E1,2.331230164E1,-4.064323807E1,9.722778320E0
5.539462162E1,2.349073792E1,-4.044477463E1,9.591125488E0
5.540455662E1,2.349073792E1,-4.044477463E1,9.591125488E0
5.541449262E1,2.350196838E1,-4.068476868E1,8.961853027E0
5.542442763E1,2.350196838E1,-4.068476868E1,8.961853027E0
5.543436363E1,2.366563416E1,-4.067854691E1,8.618530273E0
5.544429962E1,2.366563416E1,-4.067854691E1,8.618530273E0
5.545423462E1,2.374885559E1,-4.060729218E1,8.344848633E0
5.546417062E1,2.374885559E1,-4.060729218E1,8.344848633E0
5.547410562E1,2.362190247E1,-4.082589340E1,7.902954102E0
5.548404162E1,2.362190247E1,-4.082589340E1,7.902954102E0
5.549397663E1,2.368727112E1,-4.090965271E1,7.660888672E0
5.550391263E1,2.368727112E1,-4.090965271E1,7.660888672E0
5.551384762E1,2.369224548E1,-4.108774185E1,7.497314453E0
5.552378362E1,2.369224548E1,-4.108774185E1,7.497314453E0
5.553371962E1,2.351356506E1,-4.090917587E1,7.466369629E0
5.554365462E1,2.351356506E1,-4.090917587E1,7.466369629E0
5.555359062E1,2.334770203E1,-4.104793167E1,7.197265625E0
5.556352563E1,2.334770203E1,-4.104793167E1,7.197265625E0
5.557346163E1,2.368452454E1,-4.068069458E1,7.331481934E0
5.558339663E1,2.368452454E1,-4.068069458E1,7.331481934E0
5.559333262E1,2.402598572E1,-4.082955551E1,7.049865723E0
5.560326862E1,2.402598572E1,-4.082955551E1,7.049865723E0
5.561320362E1,2.427458191E1,-4.075339508E1,6.578918457E0
5.562313962E1,2.427458191E1,-4.075339508E1,6.578918457E0
5.563307462E1,2.446147156E1,-4.071414185E1,6.380554199E0
5.564301063E1,2.446147156E1,-4.071414185E1,6.380554199E0
5.565294563E1,2.446147156E1,-4.071414185E1,6.380554199E0
5.566288163E1,2.465287781E1,-4.066461182E1,6.487609863E0
5.567281762E1,2.465287781E1,-4.066461182E1,6.487609863E0
