"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.157442875E0,6.599626007E0,5.545817413E0,-5.612728271E0
2.167378875E0,6.254144440E0,4.943619690E0,-5.881569214E0
2.177314875E0,5.807024231E0,4.466262360E0,-6.358327789E0
2.187249875E0,5.342839508E0,4.020489349E0,-6.752308502E0
2.197185875E0,4.810097351E0,3.678899689E0,-6.697672119E0
2.207121875E0,4.086951141E0,3.780987396E0,-6.811585236E0
2.217057875E0,3.656596069E0,4.354893951E0,-7.122788086E0
2.226993875E0,3.654201050E0,4.547693024E0,-6.936725006E0
2.236929875E0,3.540138245E0,4.044140167E0,-6.767576752E0
2.246864875E0,3.340603180E0,3.513942719E0,-6.934928741E0
2.256800875E0,3.101550293E0,3.284469910E0,-6.733447723E0
2.266736875E0,2.621797943E0,3.263064423E0,-6.637347565E0
2.276672583E0,2.373164978E0,3.326233063E0,-7.079677734E0
2.286608583E0,2.075883179E0,3.560944977E0,-6.975344696E0
2.296544583E0,1.678759003E0,3.800446930E0,-6.921007690E0
2.306480583E0,1.497186584E0,3.971241760E0,-6.731801147E0
2.316416583E0,1.025816803E0,4.246519318E0,-6.186634827E0
2.326351583E0,5.643264771E-1,4.730163574E0,-6.210435333E0
2.336287583E0,6.515950012E-1,5.242248688E0,-5.755082245E0
2.346223583E0,1.472338257E0,8.190667419E0,-7.764503632E0
2.356159583E0,1.206940155E0,7.747289429E0,-6.274651794E0
2.366095583E0,6.560856628E-1,4.099225616E0,-4.961732025E0
2.376031583E0,3.018473053E0,6.439010010E0,-5.855373688E0
2.385967583E0,2.289638672E0,6.224506073E0,-4.431384888E0
2.395902583E0,3.916006622E0,5.390889587E0,-5.140310669E0
2.405838583E0,4.672982483E0,4.414769440E0,-5.253625031E0
2.415774583E0,5.019661560E0,3.716321869E0,-5.840704193E0
2.425710583E0,5.019661560E0,3.787723389E0,-6.750961304E0
2.435646583E0,4.860991516E0,4.182602234E0,-7.260501709E0
2.445582583E0,4.355792084E0,4.790787506E0,-7.009473724E0
2.455518583E0,3.885769501E0,5.083578644E0,-7.244185638E0
2.465453583E0,4.656965790E0,4.383933563E0,-7.472161560E0
2.475389583E0,5.620512085E0,2.851420441E0,-6.960525513E0
2.485325583E0,5.942642212E0,1.692979431E0,-7.615563354E0
2.495261583E0,6.254892883E0,1.154100037E0,-8.886719971E0
2.505197583E0,6.463558960E0,5.665718079E-1,-9.370364227E0
2.515133583E0,6.718778229E0,-1.200503540E-1,-9.286089478E0
