"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.824387583E0,-8.322877058E-1,-5.329402606E0,-1.325456200E0
2.834323583E0,1.318868726E-1,-4.845992239E0,-1.502453756E0
2.844259583E0,8.634367007E-1,-4.114345347E0,-1.359849522E0
2.854195583E0,1.514765069E0,-4.227620532E0,7.588165641E-2
2.864130583E0,7.704773739E-1,-4.580849075E0,2.132085446E0
2.874066583E0,-7.861888424E-1,-4.387667010E0,5.432786057E0
2.884002583E0,-2.900928231E0,-3.779189962E-1,2.330216010E1
2.893938583E0,-1.542131354E0,-2.603019025E0,6.317625321E0
2.903874583E0,6.008861929E-2,-4.845456634E0,-2.027664700E0
2.913810583E0,1.141559075E0,-4.485900818E0,3.935703845E-1
2.923746583E0,2.730238358E0,-6.025554560E0,9.065736571E-1
2.933682583E0,3.268923625E0,-7.217087302E0,-8.222135380E-2
2.943618583E0,2.170396695E0,-7.797108876E0,6.103404097E-1
2.953553583E0,1.338547531E-1,-7.589319296E0,1.398041196E0
2.963489583E0,-6.125586972E-1,-6.889024006E0,1.608333822E0
2.973425583E0,1.335045231E-1,-6.388282490E0,2.415570155E0
2.983361583E0,8.158798340E-1,-5.970783107E0,2.122354510E0
2.993297583E0,-1.156536571E0,-7.808020949E-2,2.378616776E0
3.003233583E0,-1.621325546E1,4.849290536E1,1.420949125E0
3.013169583E0,-1.561293703E1,5.226849928E1,-2.245641882E0
3.023105583E0,-4.302194751E0,1.935269571E1,-1.431157633E0
3.033040583E0,-6.447154596E-1,-6.156404722E-1,-6.048932898E-1
3.042976583E0,-1.332337788E0,-7.041679603E0,-3.290096685E-2
3.052912583E0,-1.052212304E0,-7.960381848E0,7.373947048E-1
3.062848583E0,-6.143263105E-1,-5.317849678E0,9.445849442E-1
3.072784583E0,-9.546715374E-1,2.744753194E-1,1.580166176E-1
3.082720583E0,-6.566994012E-1,3.770334939E0,-2.259982471E-1
3.092656583E0,5.027980540E-1,3.944571440E0,-2.945973426E-3
3.102592583E0,1.247769800E0,2.753610556E0,3.464769097E-1
3.112528583E0,8.606162962E-1,1.128840650E0,5.812051959E-1
3.122463583E0,3.765439869E-1,5.564701581E-1,7.111595638E-1
3.132399583E0,7.160377496E-1,9.872947615E-1,8.852148016E-1
3.142335583E0,1.010531597E0,1.261430358E0,1.024917647E0
3.152271583E0,1.251648551E0,1.185334108E0,1.207810221E0
3.162207583E0,1.455588615E0,1.065365615E0,1.484051399E0
3.172143583E0,1.550913141E0,1.071588807E0,1.730925668E0
3.182079583E0,1.676847256E0,1.071548461E0,1.899119364E0
3.192015583E0,1.664819241E0,9.661564922E-1,2.010034321E0
3.201951583E0,1.580371121E0,8.430609083E-1,2.083547563E0
3.211886583E0,1.394139641E0,6.715983260E-1,2.076637177E0
3.221822583E0,1.059906363E0,3.531922907E-1,1.950761242E0
3.231758583E0,4.601071671E-1,2.619318724E-1,1.602967101E0
3.241694583E0,-2.158858896E-1,1.579145837E-1,1.122960690E0
3.251630583E0,-6.784764057E-1,-1.058129686E-1,8.307229909E-1
3.261566583E0,-9.127012467E-1,-2.980571401E-1,5.491377497E-1
3.271502583E0,-8.328195101E-1,-6.303801334E-1,3.026422343E-1
3.281438958E0,-5.982713181E-1,-8.326265520E-1,1.545500958E-1
3.291374958E0,-5.383066598E-1,-7.036837524E-1,3.615698889E-2
3.301310958E0,-3.985889035E-1,-8.664363223E-1,-1.351944964E-1
3.311245958E0,-2.593936143E-1,-1.006943160E0,-2.292376046E-1
3.321181958E0,-1.652008174E-1,-8.689710903E-1,-3.383150737E-1
3.331117958E0,-1.553723970E-2,-8.704288012E-1,-3.286215596E-1
3.341053958E0,6.011852415E-1,-1.074565625E0,-2.467313044E-1
3.350989958E0,1.948153823E0,-1.713710734E0,-1.918370591E-1
3.360925958E0,2.007536537E0,-1.431441076E0,-3.136374848E-1
3.370861958E0,5.301238469E-1,-5.825990260E-1,-4.965961316E-1
3.380797958E0,2.529030405E-2,-6.011522412E-1,-4.512854728E-1
3.390733958E0,-3.804900169E-2,-7.284268302E-1,-3.741095352E-1
3.400669958E0,-3.722861541E-1,-7.027294868E-1,-5.902786128E-1
